"obsnr"	"horse"	"engTreat5"	"S"	"A"	"W"	"PC3"	"PC4"
"55"	55	"B5"	"Right-fore_Left-hind"	-1.48574648254428	-1.46947524306009	-0.00330071653889221	-0.089442349452051	-0.0436482438339216
"56"	56	"B5"	"Left-fore_Right-hind"	-3.20957639630019	0.587973196356959	-0.000649058163053134	0.0534372311883745	0.0182280388449263
"57"	57	"B5"	"Left-fore_Right-hind"	-2.52998066483542	0.828872142631777	0.000197969157691699	0.0648624758658087	0.0243222674802192
"58"	58	"B5"	"Normal"	-6.52502426153882	0.0332052232644295	-0.000355768841715405	-0.00137808971417389	-0.000526384941350957
"59"	59	"B6"	"Left-fore_Right-hind"	-3.370143539613	0.20323065264924	0.00214576878762951	0.0405086389116768	-0.0160691405826859
"60"	60	"B6"	"Left-fore_Right-hind"	-3.02771244123788	0.315805726940002	0.00343100485449822	0.0509769497635638	-0.0119484862088229
"61"	61	"B6"	"Right-fore_Left-hind"	-4.11306643376301	-0.261382549866028	-0.00194423513882339	-0.0341559614944819	-0.0104548063770359
"62"	62	"B6"	"Right-fore_Left-hind"	-2.6468071266069	-0.459809880839673	-0.00495128806889541	-0.060422333870504	-0.0174882232066279
"63"	63	"B6"	"Right-fore_Left-hind"	-4.144520001299	-0.288228515188668	-0.000995147300893347	0.020468181752114	-0.000329082802592496
"64"	64	"B6"	"Right-fore_Left-hind"	-2.71804073198298	-0.500971840767107	-0.00273639256907558	-0.0653675204706176	-0.0116131104678928
"65"	65	"B6"	"Left-fore_Right-hind"	-2.9808801767393	0.579444018937876	0.00162791923842737	0.0649811104452498	-0.00743042080433027
"66"	66	"B6"	"Left-fore_Right-hind"	-2.96229711053558	0.596187063725935	0.00091392621141665	0.0711479726278732	-0.0156452321515535
"67"	67	"B6"	"Normal"	-6.12965544223812	-0.067670398386109	-0.000642166773030122	0.00446220410182373	-0.0265833799830046
"68"	68	"B7"	"Left-fore_Right-hind"	-2.55234128736867	0.505887037262355	0.00465351161810082	0.0775768698887756	0.0136560087780816
"69"	69	"B7"	"Left-fore_Right-hind"	-1.58916016096571	0.562993400462859	0.00711730449868323	0.0762477280246555	0.00377923629520349
"70"	70	"B7"	"Right-fore_Left-hind"	-2.85613695189989	-0.3142231012631	-0.0033934690125066	-0.0340549962953534	0.0474805331945056
"71"	71	"B7"	"Right-fore_Left-hind"	-1.81117694171669	-0.717146703579202	-0.00406758592261581	-0.0681216144639386	0.0679376931020842
"72"	72	"B7"	"Right-fore_Left-hind"	-4.20845122697627	-0.254523478454403	-0.00111293815918713	-0.0294497394595977	0.0141592599910749
"73"	73	"B7"	"Right-fore_Left-hind"	-4.22849446697916	-0.310873214684732	-0.000892420295261206	-0.0427399969966545	-0.00418266257724416
"74"	74	"B7"	"Left-fore_Right-hind"	-5.58773096761441	0.169181602463129	-0.000237781423520999	0.00885509263680126	0.0162765724038755
"75"	75	"B7"	"Left-fore_Right-hind"	-3.91375521768734	0.359786318773286	0.00161310120661341	0.0354981817313444	0.0178066410775615
"76"	76	"B7"	"Normal"	-6.2485794742356	-0.0332080903796592	0.000783414509730927	0.00143004981499146	-0.0230764569303883
"77"	77	"B9"	"Left-fore_Right-hind"	-3.33590167015238	0.244846928853549	0.00330071726763941	0.0428981327354918	0.0146591859539017
"78"	78	"B9"	"Left-fore_Right-hind"	-2.94733347958422	0.256241283487163	0.00406260704328472	0.0479128270012888	0.00907159749615516
"79"	79	"B9"	"Right-fore_Left-hind"	-4.91648012589247	-0.143856347424655	-0.00072871716024435	-0.00590276236346965	-0.000479342755827885
"80"	80	"B9"	"Right-fore_Left-hind"	-4.14075277476125	-0.162461324207854	-0.00177124959256094	-0.0206466738499972	0.00659224964750331
"81"	81	"B9"	"Right-fore_Left-hind"	-5.84915805387203	-0.0832732468068639	0.000803064694353255	0.00791340041000582	0.00313207796734832
"82"	82	"B9"	"Right-fore_Left-hind"	-4.27349247442774	-0.272473713945795	-0.00130194551080151	-0.0221472577879488	-0.00430153424319028
"83"	83	"B9"	"Left-fore_Right-hind"	-5.01935552652779	0.169110767584919	0.000872297707065477	0.0172650938468053	0.00156236043875771
"84"	84	"B9"	"Left-fore_Right-hind"	-4.15783451711273	0.246581224008383	0.00164469967086899	0.0328335078716562	0.0075063969324554
"85"	85	"B9"	"Normal"	-6.33532298998	-0.0145485138622322	-0.00081891910136625	-0.00554131282836443	0.00687228135456847
